,Bigrams
0,co
1,.c
2,om
3,in
4,ne
5,s.
6,or
7,e.
8,er
9,an
10,et
11,re
12,ar
13,es
14,on
15,o.
16,a.
17,te
18,t.
19,st
20,al
21,ra
22,en
23,li
24,m.
25,ma
26,de
27,me
28,r.
29,n.
30,it
31,.n
32,to
33,at
34,.i
35,le
36,ta
37,ti
38,ng
39,ro
40,ch
41,la
42,ic
43,ed
44,go
45,se
46,ri
47,ca
48,as
49,nt
50,am
51,ru
52,el
53,di
54,lo
55,y.
56,rg
57,ea
58,ia
59,tr
60,is
61,po
62,l.
63,ad
64,ac
65,.o
66,il
67,na
68,nd
69,he
70,ha
71,io
72,ba
73,sh
74,d.
75,ho
76,si
77,ni
78,ve
79,ec
80,pa
81,mo
82,ir
83,ai
84,ou
85,i.
86,os
87,ov
88,.r
89,oo
90,.g
91,us
92,rt
93,vi
94,th
95,da
96,g.
97,ol
98,k.
99,un
100,u.
101,c.
102,sa
103,br
104,ot
105,ll
106,do
107,id
108,no
109,mi
110,ce
111,pe
112,jp
113,ga
114,.t
115,ur
116,.j
117,ge
118,op
119,.b
120,ap
121,cn
122,hi
123,fo
124,be
125,pr
126,ns
127,so
128,pl
129,ee
130,ie
131,im
132,v.
133,fi
134,du
135,.a
136,bi
137,ss
138,p.
139,.e
140,em
141,sp
142,rs
143,fr
144,ke
145,bo
146,ts
147,ck
148,b.
149,tu
150,ab
151,od
152,ag
153,ay
154,cl
155,ut
156,ew
157,oc
158,sc
159,su
160,og
161,nc
162,ob
163,ub
164,ki
165,nl
166,eb
167,gr
168,ci
169,ka
170,au
171,rn
172,wa
173,ig
174,bl
175,nk
176,x.
177,we
178,pi
179,lu
180,.p
181,ep
182,ex
183,.d
184,tv
185,ip
186,fa
187,iv
188,h.
189,ow
190,.m
191,.u
192,ct
193,gi
194,ws
195,nf
196,ok
197,eg
198,av
199,rd
200,cr
201,ak
202,ua
203,um
204,rc
205,hu
206,mp
207,ul
208,wo
209,bu
210,.s
211,my
212,wi
213,up
214,rk
215,.f
216,lt
217,eo
218,ei
219,az
220,ty
221,fe
222,of
223,ls
224,ik
225,ib
226,pp
227,tt
228,tc
229,ds
230,if
231,ly
232,tw
233,ry
234,ya
235,ko
236,uk
237,ld
238,iz
239,ud
240,va
241,ue
242,ao
243,af
244,oi
245,e-
246,ui
247,rl
248,cu
249,ev
250,yo
251,ys
252,jo
253,za
254,cc
255,nn
256,kr
257,oa
258,gl
259,gu
260,ja
261,sk
262,dr
263,mu
264,ps
265,w.
266,rm
267,.k
268,sm
269,uc
270,rr
271,ef
272,lm
273,tm
274,ks
275,pu
276,ms
277,pt
278,z.
279,ph
280,fl
281,bs
282,vo
283,eu
284,qu
285,cs
286,ek
287,ku
288,fu
289,ix
290,mb
291,ji
292,ey
293,ft
294,f.
295,-s
296,ah
297,ny
298,ze
299,gs
300,xi
301,zo
302,nu
303,ox
304,sy
305,rb
306,ff
307,ht
308,tl
309,gh
310,rv
311,ye
312,zi
313,mm
314,sl
315,sd
316,xx
317,aw
318,1.
319,ju
320,nb
321,n-
322,yp
323,rp
324,eh
325,hr
326,4.
327,sb
328,sn
329,oy
330,t-
331,tb
332,-t
333,.l
334,nv
335,hd
336,24
337,s-
338,np
339,aa
340,.h
341,a-
342,yt
343,.v
344,tp
345,8.
346,yu
347,-c
348,ae
349,lp
350,mx
351,uo
352,ug
353,pc
354,-m
355,oe
356,dn
357,wn
358,tn
359,dm
360,ky
361,yi
362,lk
363,nm
364,0.
365,gn
366,sw
367,db
368,df
369,dl
370,lc
371,dc
372,ym
373,ax
374,je
375,vn
376,yc
377,dd
378,2.
379,dy
380,xp
381,-a
382,nh
383,tf
384,-p
385,xt
386,by
387,ez
388,yl
389,uz
390,sg
391,bc
392,iu
393,sf
394,.x
395,00
396,rf
397,lb
398,oh
399,zh
400,xy
401,yn
402,o-
403,bb
404,3.
405,kt
406,dp
407,yb
408,sr
409,i-
410,hk
411,cd
412,pk
413,10
414,hs
415,mc
416,dg
417,nz
418,aj
419,cz
420,dv
421,5.
422,nj
423,12
424,bt
425,oj
426,gg
427,uy
428,lf
429,dt
430,-d
431,kh
432,gy
433,l-
434,.w
435,yz
436,gm
437,oz
438,pd
439,cy
440,td
441,mg
442,wh
443,r-
444,ej
445,-b
446,hn
447,uf
448,hy
449,j.
450,nr
451,iy
452,-g
453,mt
454,bn
455,pm
456,36
457,cb
458,xa
459,lr
460,-f
461,cm
462,q.
463,tg
464,gt
465,kl
466,hl
467,dh
468,.z
469,7.
470,py
471,zz
472,gc
473,gd
474,iq
