,Bigrams
0,aa
1,ab
2,ac
3,ad
4,ae
5,af
6,ag
7,ah
8,ai
9,aj
10,ak
11,al
12,am
13,an
14,ao
15,ap
16,aq
17,ar
18,as
19,at
20,au
21,av
22,aw
23,ax
24,ay
25,az
26,a0
27,a1
28,a2
29,a3
30,a4
31,a5
32,a6
33,a7
34,a8
35,a9
36,a.
37,a-
38,ba
39,bb
40,bc
41,bd
42,be
43,bf
44,bg
45,bh
46,bi
47,bj
48,bk
49,bl
50,bm
51,bn
52,bo
53,bp
54,bq
55,br
56,bs
57,bt
58,bu
59,bv
60,bw
61,bx
62,by
63,bz
64,b0
65,b1
66,b2
67,b3
68,b4
69,b5
70,b6
71,b7
72,b8
73,b9
74,b.
75,b-
76,ca
77,cb
78,cc
79,cd
80,ce
81,cf
82,cg
83,ch
84,ci
85,cj
86,ck
87,cl
88,cm
89,cn
90,co
91,cp
92,cq
93,cr
94,cs
95,ct
96,cu
97,cv
98,cw
99,cx
100,cy
101,cz
102,c0
103,c1
104,c2
105,c3
106,c4
107,c5
108,c6
109,c7
110,c8
111,c9
112,c.
113,c-
114,da
115,db
116,dc
117,dd
118,de
119,df
120,dg
121,dh
122,di
123,dj
124,dk
125,dl
126,dm
127,dn
128,do
129,dp
130,dq
131,dr
132,ds
133,dt
134,du
135,dv
136,dw
137,dx
138,dy
139,dz
140,d0
141,d1
142,d2
143,d3
144,d4
145,d5
146,d6
147,d7
148,d8
149,d9
150,d.
151,d-
152,ea
153,eb
154,ec
155,ed
156,ee
157,ef
158,eg
159,eh
160,ei
161,ej
162,ek
163,el
164,em
165,en
166,eo
167,ep
168,eq
169,er
170,es
171,et
172,eu
173,ev
174,ew
175,ex
176,ey
177,ez
178,e0
179,e1
180,e2
181,e3
182,e4
183,e5
184,e6
185,e7
186,e8
187,e9
188,e.
189,e-
190,fa
191,fb
192,fc
193,fd
194,fe
195,ff
196,fg
197,fh
198,fi
199,fj
200,fk
201,fl
202,fm
203,fn
204,fo
205,fp
206,fq
207,fr
208,fs
209,ft
210,fu
211,fv
212,fw
213,fx
214,fy
215,fz
216,f0
217,f1
218,f2
219,f3
220,f4
221,f5
222,f6
223,f7
224,f8
225,f9
226,f.
227,f-
228,ga
229,gb
230,gc
231,gd
232,ge
233,gf
234,gg
235,gh
236,gi
237,gj
238,gk
239,gl
240,gm
241,gn
242,go
243,gp
244,gq
245,gr
246,gs
247,gt
248,gu
249,gv
250,gw
251,gx
252,gy
253,gz
254,g0
255,g1
256,g2
257,g3
258,g4
259,g5
260,g6
261,g7
262,g8
263,g9
264,g.
265,g-
266,ha
267,hb
268,hc
269,hd
270,he
271,hf
272,hg
273,hh
274,hi
275,hj
276,hk
277,hl
278,hm
279,hn
280,ho
281,hp
282,hq
283,hr
284,hs
285,ht
286,hu
287,hv
288,hw
289,hx
290,hy
291,hz
292,h0
293,h1
294,h2
295,h3
296,h4
297,h5
298,h6
299,h7
300,h8
301,h9
302,h.
303,h-
304,ia
305,ib
306,ic
307,id
308,ie
309,if
310,ig
311,ih
312,ii
313,ij
314,ik
315,il
316,im
317,in
318,io
319,ip
320,iq
321,ir
322,is
323,it
324,iu
325,iv
326,iw
327,ix
328,iy
329,iz
330,i0
331,i1
332,i2
333,i3
334,i4
335,i5
336,i6
337,i7
338,i8
339,i9
340,i.
341,i-
342,ja
343,jb
344,jc
345,jd
346,je
347,jf
348,jg
349,jh
350,ji
351,jj
352,jk
353,jl
354,jm
355,jn
356,jo
357,jp
358,jq
359,jr
360,js
361,jt
362,ju
363,jv
364,jw
365,jx
366,jy
367,jz
368,j0
369,j1
370,j2
371,j3
372,j4
