Name,Label,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22
creonzero,1,8,3764,130.75,418.2222222,14.52777778,0.888888889,0.888888889,0.559937702,7,117746,1895.428571,13082.88889,210.6031746,0.777777778,0.777777778,0.318194396,4,0.444444444,1,6.387777778,4,0
culecorea,1,8,2892,60.5,321.3333333,6.722222222,0.888888889,0.888888889,0.381973817,7,103875,513,11541.66667,57,0.777777778,0.777777778,0.114846964,5,0.555555556,1,6.452222222,5,0
cwma,1,3,1405,384,351.25,96,0.75,0.75,0.339341082,2,35962,9307.5,8990.5,2326.875,0.5,0.5,0.238199199,1,0.25,1,4.4475,0,1
d2startup,1,8,4856,222.125,539.5555556,24.68055556,0.888888889,0.888888889,0.595097477,7,154889,4658.285714,17209.88889,517.5873016,0.777777778,0.777777778,0.385178852,2,0.222222222,1,4.906666667,7,0
daesung,1,6,2271,101.8333333,324.4285714,14.54761905,0.857142857,0.857142857,0.416392414,5,67136,1896.6,9590.857143,270.9428571,0.714285714,0.714285714,0.233540732,3,0.428571429,1,5.79,2,0
dangolgongjang,1,9,4228,195.1111111,302,13.93650794,0.642857143,0.928571429,0.697839665,11,141293,2294.818182,10092.35714,163.9155844,0.785714286,0.857142857,0.546435318,4,0.285714286,1,4.977142857,7,0
dashingdiva,1,10,3400,107,309.0909091,9.727272727,0.909090909,0.909090909,0.676987261,9,98589,1074.333333,8962.636364,97.66666667,0.818181818,0.818181818,0.256152212,4,0.363636364,1,5.359090909,8,0
deepthink,1,8,2862,101.875,318,11.31944444,0.888888889,0.888888889,0.575306839,7,89383,1428.285714,9931.444444,158.6984127,0.777777778,0.777777778,0.25451742,3,0.333333333,1,5.517777778,7,0
designerclub,1,11,4143,99.72727273,345.25,8.310606061,0.916666667,0.916666667,0.751096987,10,128208,627.9,10684,52.325,0.833333333,0.833333333,0.201536076,4,0.333333333,1,5.458333333,6,0
dibidibi,1,4,1260,210.25,157.5,26.28125,0.5,0.875,0.334678263,4,45901,3672.25,5737.625,459.03125,0.5,0.75,0.226592574,4,0.5,1,5.0825,2,0
digifinex,1,8,2173,90.75,241.4444444,10.08333333,0.888888889,0.888888889,0.53871308,7,75694,690,8410.444444,76.66666667,0.777777778,0.777777778,0.151056313,4,0.444444444,1,5.112222222,6,0
diningcity,1,8,3150,105.375,315,10.5375,0.8,0.9,0.521795082,8,91111,1109.25,9111.1,110.925,0.8,0.8,0.201826525,3,0.3,1,5.177,6,0
dlibrary,1,7,2251,128.1428571,281.375,16.01785714,0.875,0.875,0.530364942,6,59885,958.8333333,7485.625,119.8541667,0.75,0.75,0.178649947,2,0.25,1,5.185,2,0
dock-studio,1,10,5247,143.8,477,13.07272727,0.909090909,0.909090909,0.856757681,9,187062,1338.888889,17005.63636,121.7171717,0.818181818,0.818181818,0.30290604,4,0.363636364,1,4.668181818,5,0
drawing,1,6,2466,113.1666667,352.2857143,16.16666667,0.857142857,0.857142857,0.421588072,5,74534,1345.4,10647.71429,192.2,0.714285714,0.714285714,0.172539816,2,0.285714286,1,5.167142857,7,0
e-nls,1,4,2553,232.25,510.6,46.45,0.8,0.8,0.4842428,3,80339,10045.33333,16067.8,2009.066667,0.6,0.6,0.375150448,1,0.2,1,5.64,0,0
eduschool,1,8,3213,84,357,9.333333333,0.888888889,0.888888889,0.54359014,7,101249,663.2857143,11249.88889,73.6984127,0.777777778,0.777777778,0.148779348,4,0.444444444,1,5.366666667,3,0
elago,1,4,833,71.75,166.6,14.35,0.8,0.8,0.242756067,3,22329,719.3333333,4465.8,143.8666667,0.6,0.6,0.072395201,3,0.6,1,6.674,3,0
encarmagazine,1,12,3912,88.08333333,300.9230769,6.775641026,0.923076923,0.923076923,0.722954739,11,129374,471.0909091,9951.846154,36.23776224,0.846153846,0.846153846,0.182552713,6,0.461538462,1,6.448461538,7,0
englishow,1,8,3185,73.75,353.8888889,8.194444444,0.888888889,0.888888889,0.459567904,7,99767,529.1428571,11085.22222,58.79365079,0.777777778,0.777777778,0.128006429,3,0.333333333,1,5.308888889,6,0
enltr,1,4,1850,96.5,370,19.3,0.8,0.8,0.27993386,3,42116,4636,8423.2,927.2,0.6,0.6,0.23144014,1,0.2,1,6.606,0,0
evecondoms,1,9,3416,79.66666667,341.6,7.966666667,0.9,0.9,0.556663492,8,111542,634,11154.2,63.4,0.8,0.8,0.160269739,4,0.4,1,5.841,5,0
evencoin,1,7,2590,82.57142857,323.75,10.32142857,0.875,0.875,0.416932959,6,86168,412,10771,51.5,0.75,0.75,0.092680098,4,0.5,1,6.4425,4,0
eziart,1,5,2126,140.8,354.3333333,23.46666667,0.833333333,0.833333333,0.390520581,4,55376,2215,9229.333333,369.1666667,0.666666667,0.666666667,0.195592401,3,0.5,1,6.615,1,0
ezrahouse,1,8,4103,191.125,455.8888889,21.23611111,0.888888889,0.888888889,0.658935784,7,129553,3161.428571,14394.77778,351.2698413,0.777777778,0.777777778,0.391138179,5,0.555555556,1,6.155555556,5,0
fanzitt,1,6,2750,175,392.8571429,25,0.857142857,0.857142857,0.546098094,5,76203,2567.4,10886.14286,366.7714286,0.714285714,0.714285714,0.289132751,2,0.285714286,1,5.354285714,3,0
figuresesang,1,10,4419,65.2,368.25,5.433333333,0.833333333,0.916666667,0.518485794,10,148620,850.2,12385,70.85,0.833333333,0.833333333,0.24334941,5,0.416666667,1,5.945833333,7,0
flatseven,1,8,3214,82.25,357.1111111,9.138888889,0.888888889,0.888888889,0.487974432,7,115644,954,12849.33333,106,0.777777778,0.777777778,0.199662668,3,0.333333333,1,6.127777778,6,0
freetving,1,8,3558,86.875,395.3333333,9.652777778,0.888888889,0.888888889,0.480356907,7,115982,909.4285714,12886.88889,101.047619,0.777777778,0.777777778,0.173481196,3,0.333333333,1,5.656666667,3,0
fritula,1,6,3121,88.16666667,445.8571429,12.5952381,0.857142857,0.857142857,0.397694086,5,102549,1180.6,14649.85714,168.6571429,0.714285714,0.714285714,0.16519266,3,0.428571429,1,5.552857143,1,0
fsb,1,2,895,358.5,298.3333333,119.5,0.666666667,0.666666667,0.294396934,1,7906,7792,2635.333333,2597.333333,0.333333333,0.333333333,0.120376381,0,0,1,3.473333333,0,1
funcho7,1,6,2413,235.5,344.7142857,33.64285714,0.857142857,0.857142857,0.495945791,5,70070,5418.2,10010,774.0285714,0.714285714,0.714285714,0.246044486,2,0.285714286,1,3.545714286,2,0
g2b-rating,1,9,5040,270.1111111,504,27.01111111,0.9,0.9,0.723796673,8,172287,5757.625,17228.7,575.7625,0.8,0.8,0.521755178,2,0.2,1,4.4,5,0
gameabout,1,8,2244,75,249.3333333,8.333333333,0.888888889,0.888888889,0.513331935,7,55443,1111,6160.333333,123.4444444,0.777777778,0.777777778,0.207546399,5,0.555555556,1,5.896666667,6,0
gangnam,1,6,1494,83.83333333,213.4285714,11.97619048,0.857142857,0.857142857,0.355928956,5,56137,1262.4,8019.571429,180.3428571,0.714285714,0.714285714,0.172744194,2,0.285714286,1,5.587142857,3,0
gep,1,2,401,107.5,133.6666667,35.83333333,0.666666667,0.666666667,0.165673902,1,8832,3437,2944,1145.666667,0.333333333,0.333333333,0.075362655,1,0.333333333,1,5,0,1
getaim,1,5,1454,63.8,242.3333333,10.63333333,0.833333333,0.833333333,0.285754405,4,43097,748.25,7182.833333,124.7083333,0.666666667,0.666666667,0.096128129,3,0.5,1,6.39,4,0
ggmara,1,5,1598,158.6,266.3333333,26.43333333,0.833333333,0.833333333,0.350193554,4,36019,3051,6003.166667,508.5,0.666666667,0.666666667,0.18902684,2,0.333333333,1,5.551666667,2,0
ginipet,1,6,2125,79.5,303.5714286,11.35714286,0.857142857,0.857142857,0.372505409,5,74088,1033.2,10584,147.6,0.714285714,0.714285714,0.151415299,3,0.428571429,1,6.007142857,4,0
gjdream,1,6,1533,268,219,38.28571429,0.857142857,0.857142857,0.520888197,5,57611,7382.4,8230.142857,1054.628571,0.714285714,0.714285714,0.338367174,2,0.285714286,1,5.008571429,5,0
goesn,1,4,1649,177.75,329.8,35.55,0.8,0.8,0.381494119,3,36062,2630,7212.4,526,0.6,0.6,0.183246305,2,0.4,1,6.394,2,0
gojls,1,4,1576,337,315.2,67.4,0.8,0.8,0.491915677,3,43209,13090.33333,8641.8,2618.066667,0.6,0.6,0.428029053,1,0.2,1,4.272,1,0
golfgrip,1,7,2629,199.8571429,328.625,24.98214286,0.875,0.875,0.67766126,6,87582,3398.166667,10947.75,424.7708333,0.75,0.75,0.372829723,2,0.25,1,4.39375,4,0
golfzonmarket,1,12,5134,185.75,394.9230769,14.28846154,0.923076923,0.923076923,0.975859464,11,188279,2909.545455,14483,223.8111888,0.846153846,0.846153846,0.489941924,4,0.307692308,1,5.150769231,7,0
goodcontent,1,9,4001,80.66666667,363.7272727,7.333333333,0.818181818,0.909090909,0.494905583,9,132274,679.5555556,12024.90909,61.77777778,0.818181818,0.818181818,0.170702944,4,0.363636364,1,5.96,8,0
goodsmine,1,8,3438,93.375,382,10.375,0.888888889,0.888888889,0.55458825,7,111495,1037.428571,12388.33333,115.2698413,0.777777778,0.777777778,0.195412009,4,0.444444444,1,5.92,7,0
graychic,1,7,2499,98.42857143,312.375,12.30357143,0.875,0.875,0.488917752,6,83117,1172,10389.625,146.5,0.75,0.75,0.196356797,2,0.25,1,4.695,4,0
greencar,1,7,1812,54,226.5,6.75,0.875,0.875,0.323110795,6,67990,342,8498.75,42.75,0.75,0.75,0.075948911,3,0.375,1,6.75,3,0
h-201,1,4,3846,532,769.2,106.4,0.8,0.8,0.62550862,3,107510,9673.666667,21502,1934.733333,0.6,0.6,0.326477513,0,0,1,0.894,0,0
haevichi,1,7,1919,109.2857143,239.875,13.66071429,0.875,0.875,0.529378231,6,62300,1962.166667,7787.5,245.2708333,0.75,0.75,0.247875832,4,0.5,1,5.525,2,0
haja,1,3,620,203.3333333,155,50.83333333,0.75,0.75,0.32840369,2,10461,3642,2615.25,910.5,0.5,0.5,0.145901325,2,0.5,1,5.4525,1,1
hanainter,1,8,2514,30.5,279.3333333,3.388888889,0.888888889,0.888888889,0.244230687,7,88887,254.1428571,9876.333333,28.23809524,0.777777778,0.777777778,0.061614543,4,0.444444444,1,7.017777778,6,0
hanguoshopping,1,12,5862,116.9166667,418.7142857,8.351190476,0.857142857,0.928571429,0.850649684,12,203423,1652.083333,14530.21429,118.0059524,0.857142857,0.857142857,0.413453124,5,0.357142857,1,4.928571429,12,0
hanpda,1,5,1480,166.8,246.6666667,27.8,0.833333333,0.833333333,0.423963378,4,51753,3119.25,8625.5,519.875,0.666666667,0.666666667,0.237148805,2,0.333333333,1,5.591666667,2,0
hanwhain,1,6,2236,157,279.5,19.625,0.75,0.875,0.440658457,6,72725,2112.166667,9090.625,264.0208333,0.75,0.75,0.27239456,3,0.375,1,5.5825,4,0
hearthstone-decks,1,16,6969,94.5625,409.9411765,5.5625,0.941176471,0.941176471,0.975933676,15,249290,956.1333333,14664.11765,56.24313725,0.882352941,0.882352941,0.401311283,5,0.294117647,1,5.817058824,18,0
himuser,1,6,2707,86.33333333,386.7142857,12.33333333,0.857142857,0.857142857,0.393354137,5,96292,1025,13756,146.4285714,0.714285714,0.714285714,0.144131899,3,0.428571429,1,5.595714286,8,0
hisupplier,1,9,4153,94.66666667,415.3,9.466666667,0.9,0.9,0.630161202,8,151166,979.5,15116.6,97.95,0.8,0.8,0.243737988,4,0.4,1,5.367,7,0
honam,1,4,1335,36.5,267,7.3,0.8,0.8,0.154906833,3,50150,508.3333333,10030,101.6666667,0.6,0.6,0.055131152,2,0.4,1,5.736,3,0
hotelhaven,1,9,3408,94.66666667,340.8,9.466666667,0.9,0.9,0.560764976,8,122979,1016.375,12297.9,101.6375,0.8,0.8,0.224182285,4,0.4,1,5.94,7,0
i-park,1,5,3010,176.2,501.6666667,29.36666667,0.833333333,0.833333333,0.461496103,4,89308,1751,14884.66667,291.8333333,0.666666667,0.666666667,0.151822463,2,0.333333333,1,4.876666667,4,0
i-screammall,1,11,4733,118.4545455,394.4166667,9.871212121,0.916666667,0.916666667,0.797762155,10,163231,1157.3,13602.58333,96.44166667,0.833333333,0.833333333,0.308547016,4,0.333333333,1,5.823333333,7,0
