,Name,Label,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18
0,uhbqolxf,1,7,3580,555.0,447.5,69.375,0.875,0.875,0.9695551893644493,6,102448,19370.833333333332,12806.0,2421.3541666666665,0.75,0.75,0.8004598117131023,2,0.25
1,gzhwfdwnjrg,1,10,5041,493.3,458.27272727272725,44.845454545454544,0.9090909090909091,0.9090909090909091,1.525623223094138,9,166515,20826.666666666668,15137.727272727272,1893.3333333333335,0.8181818181818182,0.8181818181818182,1.2969817612075325,0,0.0
2,oyxiufvc,1,7,4480,500.85714285714283,560.0,62.607142857142854,0.875,0.875,1.0365263726044187,6,139659,16173.0,17457.375,2021.625,0.75,0.75,0.8825273025893234,3,0.375
3,ufaqzt,1,5,2578,563.4,429.6666666666667,93.89999999999999,0.8333333333333334,0.8333333333333334,0.649595798932242,4,61016,16686.75,10169.333333333334,2781.125,0.6666666666666666,0.6666666666666666,0.47542595028274814,2,0.3333333333333333
4,cejzf,1,4,1567,541.75,313.4,108.35,0.8,0.8,0.48653050647479523,3,23146,17115.666666666668,4629.2,3423.1333333333337,0.6,0.6,0.4326517428651006,1,0.2
5,hmjdxxtiy,1,8,4081,443.625,453.44444444444446,49.291666666666664,0.8888888888888888,0.8888888888888888,1.1020547272003802,7,142426,12778.42857142857,15825.111111111111,1419.8253968253966,0.7777777777777778,0.7777777777777778,0.9319850141630489,1,0.1111111111111111
6,fyinqfccs,1,8,2946,426.0,327.3333333333333,47.333333333333336,0.8888888888888888,0.8888888888888888,0.9940374181810028,7,108143,10683.857142857143,12015.888888888889,1187.095238095238,0.7777777777777778,0.7777777777777778,0.7876209580264516,1,0.1111111111111111
7,wxdkqxxusla,1,10,6579,571.8,598.0909090909091,51.98181818181818,0.9090909090909091,0.9090909090909091,1.1331049867407639,9,233871,20913.333333333332,21261.0,1901.212121212121,0.8181818181818182,0.8181818181818182,0.9707827581920705,2,0.18181818181818182
8,uewaljy,1,6,2584,301.3333333333333,369.14285714285717,43.047619047619044,0.8571428571428571,0.8571428571428571,0.6299133734647624,5,84127,9778.4,12018.142857142857,1396.9142857142856,0.7142857142857143,0.7142857142857143,0.37652906875518743,3,0.42857142857142855
9,yqepnbbj,1,7,2878,519.8571428571429,359.75,64.98214285714286,0.875,0.875,0.966793153370528,6,107361,19452.166666666668,13420.125,2431.5208333333335,0.75,0.75,0.7633283257608636,1,0.125
10,jzebis,1,5,1847,296.2,307.8333333333333,49.36666666666667,0.8333333333333334,0.8333333333333334,0.47073960493540573,4,57795,6109.5,9632.5,1018.25,0.6666666666666666,0.6666666666666666,0.34037504318323797,2,0.3333333333333333
11,bqvecpmo,1,7,2789,410.7142857142857,348.625,51.339285714285715,0.875,0.875,0.7086406140036687,6,87930,11533.166666666666,10991.25,1441.6458333333333,0.75,0.75,0.6591867970295067,2,0.25
12,cdrdkvdz,1,7,2331,429.57142857142856,291.375,53.69642857142857,0.875,0.875,1.0093310387174945,6,83115,16692.333333333332,10389.375,2086.5416666666665,0.75,0.75,0.7730100201409786,0,0.0
