Label,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22
1,9,4188,67.22222222,418.8,6.722222222,0.9,0.9,0.67394365,8,138237,240.75,13823.7,24.075,0.8,0.8,0.259731064,4,0.4,1,5.616666667,3,0
1,10,6004,94.5,545.8181818,8.590909091,0.909090909,0.909090909,0.962121058,9,207237,419.4444444,18839.72727,38.13131313,0.818181818,0.818181818,0.421692381,5,0.454545455,1,4.785714286,6,0
1,11,3996,97.09090909,333,8.090909091,0.916666667,0.916666667,1.196226435,10,130877,724.2,10906.41667,60.35,0.833333333,0.833333333,0.60226866,5,0.416666667,1,5.41375,6,0
1,8,3295,63.375,366.1111111,7.041666667,0.888888889,0.888888889,0.718082113,7,104336,1095.428571,11592.88889,121.7142857,0.777777778,0.777777778,0.465351373,4,0.444444444,1,5.102,2,0
1,8,4096,62,455.1111111,6.888888889,0.888888889,0.888888889,0.552230511,7,134765,113.2857143,14973.88889,12.58730159,0.777777778,0.777777778,0.133491393,2,0.222222222,1,5.63,4,0
1,9,4545,72.22222222,454.5,7.222222222,0.9,0.9,0.6043432,8,151820,522.75,15182,52.275,0.8,0.8,0.376305693,4,0.4,1,6.025,4,0
1,5,3277,258.6,546.1666667,43.1,0.833333333,0.833333333,-0.298306459,4,103732,1874.75,17288.66667,312.4583333,0.666666667,0.666666667,0.221127269,1,0.166666667,1,0.21,0,1
1,7,4330,120,541.25,15,0.875,0.875,0.556994424,6,143699,1974.166667,17962.375,246.7708333,0.75,0.75,0.46208979,3,0.375,1,4.8875,2,1
1,8,3902,97.625,390.2,9.7625,0.8,0.9,0.592823165,8,127363,1083.875,12736.3,108.3875,0.8,0.8,0.602804643,5,0.5,1,6.943333333,2,0
1,8,4325,90,480.5555556,10,0.888888889,0.888888889,0.623051575,7,143480,1265.857143,15942.22222,140.6507937,0.777777778,0.777777778,0.458394709,4,0.444444444,1,5.628,4,0
1,12,5651,100.4166667,434.6923077,7.724358974,0.923076923,0.923076923,1.384393444,11,189638,748.1818182,14587.53846,57.55244755,0.846153846,0.846153846,0.702429549,6,0.461538462,1,5.612222222,2,0
1,14,7542,75.35714286,502.8,5.023809524,0.933333333,0.933333333,1.212569818,13,265585,400.3076923,17705.66667,26.68717949,0.866666667,0.866666667,0.581334632,4,0.266666667,1,5.57,5,0
1,5,4864,307.4,810.6666667,51.23333333,0.833333333,0.833333333,0.208704274,4,181341,1081.75,30223.5,180.2916667,0.666666667,0.666666667,0.350345953,0,0,0,0.14,3,1
1,5,2504,154.8,417.3333333,25.8,0.833333333,0.833333333,-0.044576733,4,74358,1377.5,12393,229.5833333,0.666666667,0.666666667,0.150991806,1,0.166666667,0,1.905,0,1
1,12,5671,51.08333333,436.2307692,3.929487179,0.923076923,0.923076923,0.878244373,11,194517,463.1818182,14962.84615,35.62937063,0.846153846,0.846153846,0.523666184,4,0.307692308,1,6.337777778,10,0
