,Bigrams
0,in
1,er
2,an
3,ar
4,re
5,es
6,on
7,or
8,al
9,st
10,te
11,ra
12,en
13,ne
14,ma
15,li
16,le
17,at
18,ti
19,ta
20,ri
21,to
22,co
23,ro
24,de
25,la
26,me
27,as
28,ic
29,nt
30,it
31,et
32,el
33,ca
34,ng
35,ch
36,ea
37,di
38,se
39,is
40,nd
41,am
42,lo
43,ia
44,tr
45,he
46,ec
47,ho
48,na
49,ad
50,si
51,th
52,ve
53,ac
54,rt
55,ol
56,io
57,il
58,ed
59,ni
60,ha
61,pa
62,ou
63,os
64,ur
65,om
66,sa
67,po
68,sh
69,ce
70,mo
71,da
72,ll
73,ba
74,ns
75,oo
76,vi
77,us
78,ge
79,un
80,so
81,mi
82,pr
83,em
84,ot
85,rs
86,ai
87,pe
88,ie
89,ee
90,no
91,ss
92,ap
93,ir
94,do
95,hi
96,be
97,ga
98,op
99,ts
100,im
101,fi
102,id
103,ag
104,nc
105,ke
106,bo
107,od
108,ci
109,tu
110,sp
111,ut
112,sc
113,ab
114,fo
115,ig
116,bi
117,ck
118,oc
119,ct
120,eb
121,we
122,ay
123,go
124,pl
125,su
126,gr
127,ka
128,ki
129,ew
130,gi
131,iv
132,ex
133,og
134,pi
135,ep
136,wa
137,lu
138,ow
139,fa
140,cl
141,ru
142,ob
143,rn
144,bl
145,ov
146,mp
147,rd
148,va
149,av
150,ls
151,rk
152,ul
153,au
154,of
155,ds
156,rc
157,cr
158,up
159,ty
160,lt
161,ak
162,eg
163,fe
164,ip
165,ry
166,nl
167,um
168,br
169,bu
170,ub
171,ok
172,wo
173,ev
174,nk
175,my
176,rm
177,wi
178,ld
179,ei
180,tt
181,af
182,ya
183,ly
184,ys
185,sm
186,eo
187,fr
188,tc
189,ik
190,if
191,ud
192,dr
193,cu
194,ue
195,e-
196,nn
197,ko
198,pp
199,oa
200,rl
201,mu
202,uc
203,ui
204,ks
205,du
206,ws
207,gu
208,oi
209,ef
210,ms
211,ps
212,yo
213,ib
214,az
215,ja
216,ey
217,sk
218,hu
219,qu
220,rr
221,jo
222,cs
223,ph
224,rg
225,nf
226,ua
227,pu
228,ek
229,gl
230,ah
231,vo
232,lm
233,fu
234,fl
235,gh
236,-s
237,ft
238,iz
239,pt
240,za
241,ht
242,sl
243,tl
244,ze
245,rp
246,eh
247,bs
248,mb
249,sy
250,rv
251,ff
252,s-
253,rb
254,cc
255,mm
256,nu
257,ny
258,gs
259,aw
260,sd
261,tw
262,ye
263,n-
264,eu
265,yc
266,tv
267,a-
268,aa
269,ao
270,-m
271,lc
272,ku
273,sb
274,tm
275,gn
276,zi
277,oe
278,ix
279,t-
280,je
281,nb
282,-c
283,oy
284,ox
285,lp
286,yp
287,tb
288,yt
289,sw
290,ym
291,ae
292,np
293,rf
294,tp
295,hr
296,zo
297,nm
298,-t
299,dy
300,xp
301,nh
302,sn
303,dc
304,-p
305,nv
306,dm
307,-a
308,yl
309,sf
310,dd
311,tn
312,ug
313,ju
314,o-
315,dl
316,ax
317,yb
318,xi
319,lb
320,lf
321,r-
322,mc
323,ez
324,oh
325,sr
326,dg
327,yn
328,db
329,kt
330,-b
331,pc
332,aj
333,hs
334,tf
335,24
336,xt
337,wn
338,lk
339,wh
340,-d
341,oj
342,dn
343,kr
344,gy
345,uk
346,ky
347,kl
348,sg
349,by
350,ji
351,hn
352,cy
353,td
354,l-
355,hy
356,dt
357,i-
358,hd
359,df
360,dp
361,iu
362,yd
363,yu
364,dv
365,nr
366,y-
367,gg
368,bb
369,kh
370,-i
371,-e
372,bc
373,yi
374,d-
375,-g
376,-f
377,lg
378,oz
379,gt
380,hl
381,-l
382,yf
383,mt
384,dh
385,yr
386,xx
387,xa
388,nw
389,rh
390,hm
391,-r
392,tg
393,gm
394,cd
395,cp
396,nj
397,lh
398,dw
399,cm
400,-o
401,10
402,uz
403,hc
404,pd
405,pm
406,ej
407,gc
408,cb
409,py
410,zz
411,km
412,lv
413,kn
414,-n
415,uy
416,cn
417,nz
418,bt
419,iq
420,ii
421,ln
422,yg
423,ih
424,xe
425,rw
426,g-
427,hp
428,-h
429,sv
430,yw
431,xc
432,iy
433,uf
434,00
435,mr
436,ij
437,ml
438,gp
439,yh
440,fc
441,bd
442,fs
443,lr
444,ux
445,uo
446,hb
447,mg
448,wp
449,gd
450,bm
451,kp
452,gb
453,md
454,-w
455,20
456,kb
457,c-
458,kc
459,12
460,m-
461,k-
462,p-
463,-k
464,36
465,vs
466,mn
467,tk
468,xn
469,h-
470,pn
471,fm
472,wr
473,01
474,--
475,mf
476,bh
477,pb
478,iw
479,lw
480,zu
481,hk
482,tz
483,fy
484,wt
485,cg
486,aq
487,eq
488,bn
489,zh
490,kk
491,pf
492,gf
493,pg
494,vr
495,cf
496,zy
497,xo
498,kf
499,23
500,uh
501,rz
502,uv
503,kd
504,xs
505,sq
506,-v
507,pk
508,u-
509,hf
510,mh
511,rj
512,yk
513,hw
514,uj
515,-u
516,sz
517,wc
518,s2
519,bp
520,mw
521,js
522,sj
523,gw
524,bg
525,kw
526,wl
527,11
528,vt
529,ww
530,xu
531,xy
532,tj
533,hg
534,60
535,zl
536,vu
537,vp
538,-j
539,vc
540,dz
541,wd
542,p3
543,fp
544,mk
545,nx
546,b-
547,dj
548,e2
549,zd
550,vn
551,fb
552,yv
553,x-
554,xm
555,wy
556,dk
557,18
558,vy
559,wb
560,wm
561,a2
562,uw
563,19
564,kg
565,qa
566,zm
567,mv
568,65
569,21
570,pw
571,88
572,fx
573,xb
574,kv
575,cw
576,jp
577,f-
578,gk
579,v-
580,qi
581,zn
582,99
583,s1
584,fg
585,yz
586,cv
587,bf
588,vm
589,3d
590,zc
591,uu
592,hh
593,t2
594,xl
595,zs
596,zt
597,vd
598,s4
599,lj
600,bk
601,hq
602,fd
603,zb
604,yj
605,vl
606,e1
607,cz
608,wu
609,xf
610,wf
611,80
612,nq
613,tx
614,vk
615,jc
616,o2
617,fw
618,zp
619,w-
620,lz
621,mz
622,4u
623,pv
624,hv
625,rq
626,fn
627,n2
628,oq
629,vb
630,xd
631,bw
632,xh
633,mx
634,vg
635,z-
636,rx
637,fh
638,bj
639,-z
640,gv
641,16
642,13
643,77
644,jm
645,a1
646,wg
647,wk
648,xv
649,2c
650,02
651,dx
652,yy
653,2b
654,b2
655,30
656,bz
657,cj
658,-y
659,51
660,r2
661,50
662,jd
663,xg
664,14
665,22
666,mj
667,gj
668,d2
669,gz
670,bv
671,47
672,vv
673,xr
674,kz
675,zk
676,hj
677,jn
678,s3
679,l2
680,3m
681,o1
682,17
683,15
684,vf
685,jr
686,e3
687,k1
688,zg
689,pj
690,m2
691,t1
692,r1
693,n1
694,91
695,66
696,zw
697,y2
698,jk
699,yx
700,d1
701,sx
702,i2
703,e4
704,-1
705,68
706,a3
707,ql
708,4a
709,0a
710,p1
711,40
712,1s
713,kj
714,fk
715,jb
716,jh
717,4s
718,52
719,lx
720,1a
721,qo
722,vh
723,33
724,25
725,cq
726,p2
727,-2
728,k2
729,t4
730,jl
731,zf
732,4h
733,zr
734,xw
735,jt
736,jy
737,2m
738,98
739,jj
740,o3
741,cx
742,2d
743,pz
744,2g
745,jf
746,h2
747,4m
748,90
749,2s
750,55
751,uq
752,g2
753,3c
754,zv
755,bx
756,32
757,08
758,69
759,qs
760,31
761,m1
762,y1
763,4t
764,72
765,2p
766,2a
767,t3
768,jw
769,x2
770,-8
771,1c
772,44
773,g1
774,qc
775,c2
776,n3
777,hz
778,a4
779,3a
780,3s
781,l1
782,tq
783,42
784,j-
785,-x
786,v2
787,fj
788,04
789,4c
790,m3
791,n4
792,wz
793,p4
794,4k
795,45
796,1t
797,px
798,qr
799,03
800,-q
801,i1
802,92
803,4d
804,d3
805,o4
806,86
807,37
808,4f
809,41
810,29
811,vw
812,78
813,dq
814,7s
815,0b
816,fz
817,qt
818,4p
819,1-
820,0s
821,4l
822,wj
823,64
824,2t
825,c1
826,-7
827,1m
828,bq
829,34
830,r3
831,07
832,lq
833,wv
834,09
835,gx
836,1b
837,l3
838,35
839,qm
840,48
841,0c
842,0d
843,d4
844,4b
845,56
846,jg
847,x1
848,0m
849,e8
850,qn
851,r4
852,43
853,qq
854,28
855,2n
856,1d
857,81
858,a5
859,61
860,4g
861,g4
862,yq
863,-3
864,c4
865,71
866,fv
867,58
868,26
869,2f
870,0t
871,e7
872,89
873,f1
874,95
875,y4
876,4y
877,k4
878,qe
879,3b
880,05
881,2w
882,a7
883,96
884,1x
885,h1
886,qp
887,4e
888,0p
889,97
890,qb
891,m4
892,b1
893,q-
894,y3
895,e5
896,39
897,xz
898,zj
899,70
900,h3
901,hx
902,2u
903,27
904,n8
905,vz
906,5a
907,2h
908,l4
909,o7
910,f2
911,3t
912,06
913,38
914,3-
915,v1
916,jv
917,54
918,85
919,b4
920,2l
921,67
922,87
923,2-
924,2o
925,zx
926,2e
927,3r
928,gq
929,2r
930,s5
931,5m
932,-4
933,mq
934,76
935,c3
936,5c
937,w3
938,93
939,3p
940,qd
941,75
942,1f
943,t9
944,4x
945,73
946,e9
947,u1
948,4r
949,xj
950,1p
951,qw
952,9a
953,82
954,0-
955,4-
956,e6
957,jz
958,74
959,wx
960,s9
961,xk
962,3l
963,8a
964,4w
965,7a
966,5-
967,x4
968,3i
969,a9
970,46
971,vx
972,5d
973,u2
974,59
975,i4
976,8s
977,84
978,t7
979,2k
980,r7
981,2i
982,8c
983,w2
984,e0
985,-9
986,3f
987,b3
988,8t
989,i3
990,s7
991,1n
992,s8
993,5p
994,62
995,9s
996,63
997,qh
998,vj
999,53
1000,5s
1001,a0
1002,l5
1003,n7
1004,d9
1005,jx
1006,57
1007,3g
1008,7c
1009,5b
1010,n0
1011,a6
1012,49
1013,t8
1014,n6
1015,3n
1016,qf
1017,s6
1018,9d
1019,k9
1020,4i
1021,d7
1022,h4
1023,1g
1024,p5
1025,-6
1026,x7
1027,g3
1028,t5
1029,7d
1030,b0
1031,a8
1032,o5
1033,0r
1034,d6
1035,f4
1036,79
1037,5t
1038,1e
1039,k3
1040,7m
1041,zq
1042,0f
1043,0w
1044,83
1045,r9
1046,v3
1047,d5
1048,kx
1049,pq
1050,8p
1051,0k
1052,jq
1053,9j
1054,94
1055,g5
1056,3e
1057,r8
1058,4n
1059,w1
1060,o8
1061,3h
1062,t6
1063,c8
1064,3x
1065,s0
1066,n5
1067,9c
1068,n9
1069,1i
1070,i9
1071,8b
1072,qv
1073,-0
1074,2z
1075,l7
1076,7b
1077,6a
1078,1l
1079,u3
1080,9t
1081,6c
1082,1h
1083,9m
1084,0n
1085,0e
1086,t0
1087,z1
1088,qg
1089,4o
1090,j1
1091,i7
1092,kq
1093,x3
1094,r5
1095,9b
1096,-5
1097,7t
1098,z2
1099,8-
1100,o9
1101,o6
1102,7x
1103,i5
1104,i8
1105,c5
1106,0g
1107,r0
1108,5e
1109,7g
1110,8g
1111,7-
1112,8d
1113,8m
1114,k8
1115,m5
1116,qk
1117,g9
1118,0x
1119,1j
1120,u8
1121,d0
1122,7e
1123,c0
1124,f3
1125,fq
1126,7p
1127,r6
1128,p8
1129,5g
1130,v4
1131,k7
1132,b8
1133,k5
1134,y8
1135,qy
1136,9g
1137,0i
1138,v5
1139,x8
1140,6f
1141,f5
1142,l9
1143,1w
1144,y6
1145,y5
1146,y9
1147,1r
1148,6s
1149,g7
1150,0l
1151,1k
1152,7l
1153,h5
1154,6b
1155,b5
1156,z3
1157,9x
1158,qz
1159,u9
1160,c9
1161,d8
1162,1v
1163,2x
1164,8j
1165,k6
1166,0v
1167,5f
1168,2j
1169,5i
1170,5k
1171,3w
1172,6k
1173,wq
1174,0o
1175,b6
1176,m7
1177,b7
1178,l8
1179,o0
1180,h8
1181,7k
1182,x5
1183,8f
1184,9f
1185,c7
1186,v8
1187,6t
1188,1o
1189,vq
1190,z4
1191,m8
1192,9-
1193,i6
1194,6d
1195,f7
1196,3v
1197,3u
1198,6p
1199,9l
1200,q8
1201,7f
1202,b9
1203,7h
1204,w8
1205,4j
1206,m9
1207,9p
1208,3y
1209,8e
1210,3o
1211,qx
1212,7w
1213,m6
1214,c6
1215,g8
1216,q1
1217,0y
1218,p0
1219,8i
1220,9i
1221,4v
1222,5n
1223,h9
1224,y0
1225,y7
1226,i0
1227,0h
1228,7o
1229,8h
1230,9e
1231,6-
1232,p7
1233,u4
1234,xq
1235,3k
1236,u5
1237,2y
1238,h6
1239,3j
1240,5o
1241,1y
1242,z0
1243,1q
1244,g0
1245,h7
1246,7n
1247,x9
1248,5r
1249,1z
1250,u0
1251,9n
1252,1u
1253,w4
1254,8k
1255,g6
1256,5l
1257,2v
1258,9k
1259,9r
1260,p6
1261,qj
1262,8x
1263,f8
1264,6n
1265,x6
1266,7z
1267,k0
1268,w5
1269,8v
1270,8l
1271,7r
1272,u7
1273,5h
1274,v6
1275,5y
1276,6m
1277,6l
1278,j3
1279,7i
1280,5w
1281,h0
1282,p9
1283,j4
1284,6e
1285,6v
1286,l6
1287,z9
1288,6r
1289,7u
1290,j0
1291,z8
1292,v7
1293,q3
1294,j2
1295,9w
1296,6g
1297,8y
1298,7y
1299,w0
1300,f9
1301,6h
1302,l0
1303,x0
1304,f0
1305,w6
1306,2q
1307,q4
1308,q2
1309,6w
1310,z7
1311,w7
1312,3q
1313,5z
1314,8w
1315,z5
1316,9u
1317,3z
1318,5u
1319,m0
1320,9h
1321,5j
1322,u6
1323,6y
1324,j9
1325,0j
1326,w9
1327,v0
1328,0z
1329,9y
1330,j8
1331,v9
1332,8o
1333,5v
1334,9v
1335,7v
1336,q9
1337,0u
1338,6i
1339,8r
1340,6x
1341,8n
1342,4z
1343,z6
1344,9o
1345,f6
1346,j5
1347,6u
1348,7j
1349,9z
1350,q5
1351,j6
1352,6o
1353,6j
1354,q7
1355,8u
1356,5x
1357,q6
1358,0q
1359,4q
1360,q0
1361,j7
1362,9q
1363,7q
1364,8z
1365,8q
1366,6z
1367,6q
1368,5q
1369,.b
1370,.c
1371,.d
1372,.e
1373,.f
1374,.g
1375,.h
1376,.i
1377,.j
1378,.k
1379,.l
1380,.m
1381,.n
1382,.o
1383,.p
1384,.q
1385,.r
1386,.s
1387,.t
1388,.u
1389,.v
1390,.w
1391,.x
1392,.y
1393,.z
1394,.0
1395,.1
1396,.2
1397,.3
1398,.4
1399,.5
1400,.6
1401,.7
1402,.8
1403,.9
1404,..
1405,.-
1406,.a
1407,9.
1408,8.
1409,7.
1410,6.
1411,5.
1412,4.
1413,3.
1414,2.
1415,1.
1416,0.
1417,z.
1418,y.
1419,x.
1420,w.
1421,v.
1422,u.
1423,t.
1424,s.
1425,r.
1426,q.
1427,p.
1428,o.
1429,n.
1430,m.
1431,l.
1432,k.
1433,j.
1434,i.
1435,h.
1436,g.
1437,f.
1438,e.
1439,d.
1440,c.
1441,b.
1442,-.
1443,a.
