Label,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18
1,12,4613,53.66666667,354.8461538,4.128205128,0.923076923,0.923076923,0.748795663,11,154290,933.1818182,11868.46154,71.78321678,0.846153846,0.846153846,0.685818866,5,0.384615385
1,11,4857,94.81818182,404.75,7.901515152,0.916666667,0.916666667,0.940132408,10,182202,1122.4,15183.5,93.53333333,0.833333333,0.833333333,0.543782414,3,0.25
1,13,6305,120.8461538,420.3333333,8.056410256,0.866666667,0.933333333,0.890856902,13,218550,805.6153846,14570,53.70769231,0.866666667,0.866666667,0.748723549,5,0.333333333
1,10,5747,247.9,522.4545455,22.53636364,0.909090909,0.909090909,1.12137017,9,196124,3900.555556,17829.45455,354.5959596,0.818181818,0.818181818,0.553774477,3,0.272727273
1,10,5792,85.7,526.5454545,7.790909091,0.909090909,0.909090909,1.191861693,9,194575,970.6666667,17688.63636,88.24242424,0.818181818,0.818181818,0.728483711,4,0.363636364
1,15,9195,139.7333333,483.9473684,7.354385965,0.789473684,0.947368421,1.210935562,15,299913,1516.866667,15784.89474,79.83508772,0.789473684,0.842105263,1.211969516,7,0.368421053
1,7,4610,42.71428571,512.2222222,4.746031746,0.777777778,0.888888889,0.485132172,7,171616,60.57142857,19068.44444,6.73015873,0.777777778,0.777777778,0.073751671,1,0.111111111
1,12,5645,101.3333333,434.2307692,7.794871795,0.923076923,0.923076923,1.391081131,11,206340,451.8181818,15872.30769,34.75524476,0.846153846,0.846153846,0.630412834,6,0.461538462
1,12,4881,51.16666667,375.4615385,3.935897436,0.923076923,0.923076923,0.922956971,11,164473,580,12651.76923,44.61538462,0.846153846,0.846153846,0.562296657,5,0.384615385
1,9,3249,122.7777778,324.9,12.27777778,0.9,0.9,0.895303535,8,105715,1479,10571.5,147.9,0.8,0.8,0.835044464,3,0.3
1,6,2816,49,402.2857143,7,0.857142857,0.857142857,0.540111588,5,94661,288,13523,41.14285714,0.714285714,0.714285714,0.215063678,3,0.428571429
